"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SW1";"Kailh_socket_PG1350";1;"Home";;;
2;"J1";"Jack_3.5mm_CUI_SJ1-3524N_Horizontal";1;"AudioJack3_SwitchT";;;
3;"R4,R1,R2,R3,R6,R5,R13,R8,R11,R9,R10";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";11;"10K";;;
4;"SW2";"Kailh_socket_PG1350";1;"Back";;;
5;"Primary Rotary Encoder1";"RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm";1;"RotaryEncoder_Switch";;;
6;"L_SPKR1,RSPKR1";"MAX98357 I2C Audio Driver";2;"~";;;
7;"SW5";"Kailh_socket_PG1350";1;"Menu";;;
8;"Screen&SDCardReader1";"2.4'_TFT_SPI_ILI9341_WITH_SD_CARD";1;"~";;;
9;"SW3";"Kailh_socket_PG1350";1;"Play/Pause";;;
10;"D1";"D_A-405_P7.62mm_Horizontal";1;"Flyback Diode";;;
11;"M1";"TerminalBlock_RND_205-00001_1x02_P5.00mm_Horizontal";1;"Haptic Feedback";;;
12;"R12";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"100K";;;
13;"C1";"C_0201_0603Metric";1;".1 uF";;;
14;"SW6";"SW_Slide_SPDT_Angled_CK_OS102011MA1Q";1;"Hold";;;
15;"L1";"L_Vishay_IFSC-1515AH_4x4x1.8mm";1;"15uH";;;
16;"X1";"ESP32S3WROOM1N8R2";1;"ESP32-S3-WROOM-1-N16R8";;;
17;"SW4";"SW_Slide_SPDT_Angled_CK_OS102011MA1Q";1;"Power";;;
18;"R14";"R_01005_0402Metric";1;"69.8K";;;
19;"SW7";"SW_PUSH_6mm";1;"BOOT_MODE";;;
20;"C3";"C_0201_0603Metric";1;"10uF";;;
21;"Q1";"TO-92_Inline";1;"BS170";;;
22;"C2";"C_0201_0603Metric";1;"2.2 uF";;;
23;"U1";"SOT95P280X145-6N";1;"LMR54410DBVR";;;
24;"R7";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"0-100Ω";;;
25;"R15";"R_01005_0402Metric";1;"22.1K";;;
26;"1";"UART_FTDI";1;"~";;;
